 	ribo_5p
MSMEG_0001	0.6967
MSMEG_0002	0.2054
MSMEG_0003	0.1313
MSMEG_0004	0.2929
MSMEG_0005	0.4253
MSMEG_0006	0.6152
MSMEG_0007	0.4129
MSMEG_0009	1.764
MSMEG_0011	0.3041
MSMEG_0012	0.2545
MSMEG_0014	0.8234
MSMEG_0015	0.1842
MSMEG_0016	0.5745
MSMEG_0017	0.6034
MSMEG_0018	0.2796
MSMEG_0019	0.677
MSMEG_0020	0.5978
MSMEG_0021	0.7081
MSMEG_0022	0.438
MSMEG_0023	1.7031
MSMEG_0024	4.8937
MSMEG_0025	0.0736
MSMEG_0026	0.8903
MSMEG_0027	0.9677
MSMEG_0028	1.1538
MSMEG_0029	1.5553
MSMEG_0030	0.3646
MSMEG_0031	0.2548
MSMEG_0032	0.413
MSMEG_0033	0.111
MSMEG_0034	0.1483
MSMEG_0035	0.35
MSMEG_0036	7979.5609
MSMEG_0039	0.5368
MSMEG_0040	0.379
MSMEG_0041	0.3692
MSMEG_0042	3.7045
MSMEG_0043	0.8326
MSMEG_0044	0.448
MSMEG_0045	0.2
MSMEG_0046	0.2286
MSMEG_0047	1.2272
MSMEG_0048	2.2134
MSMEG_0049	0.6353
MSMEG_0050	0.4519
MSMEG_0051	3.5866
MSMEG_0052	0.3484
MSMEG_0053	0.7415
MSMEG_0054	0.0661
MSMEG_0055	0.8894
MSMEG_0056	0.6991
MSMEG_0057	0.6997
MSMEG_0058	0.5317
MSMEG_0059	2.5262
MSMEG_0060	0.1079
MSMEG_0061	0.5937
MSMEG_0062	0.2046
MSMEG_0063	1.6376
MSMEG_0064	0.2317
MSMEG_0065	1.5034
MSMEG_0066	1.3876
MSMEG_0067	0.5628
MSMEG_0068	0.1872
MSMEG_0069	0.2687
MSMEG_0070	0.1227
MSMEG_0071	0.2664
MSMEG_0072	1.0
MSMEG_0073	0.5911
MSMEG_0074	1.0
MSMEG_0075	0.3358
MSMEG_0076	0.7289
MSMEG_0077	0.5639
MSMEG_0078	0.4831
MSMEG_0079	0.246
MSMEG_0080	0.2165
MSMEG_0081	0.3565
MSMEG_0082	0.118
MSMEG_0083	0.6538
MSMEG_0084	0.8821
MSMEG_0085	0.5155
MSMEG_0086	0.3826
MSMEG_0087	0.3876
MSMEG_0088	0.3189
MSMEG_0089	0.5859
MSMEG_0090	0.2774
MSMEG_0091	0.7001
MSMEG_0092	2.3338
MSMEG_0093	0.0607
MSMEG_0094	0.0475
MSMEG_0095	0.7679
MSMEG_0096	1.0221
MSMEG_0097	0.2254
MSMEG_0098	0.874
MSMEG_0099	0.4414
MSMEG_0100	0.245
MSMEG_0101	0.3763
MSMEG_0102	11.038
MSMEG_0103	0.2134
MSMEG_0104	2.3328
MSMEG_0105	0.6117
MSMEG_0106	0.1894
MSMEG_0107	0.5351
MSMEG_0108	0.1073
MSMEG_0109	0.0068
MSMEG_0110	0.6961
MSMEG_0111	3.6287
MSMEG_0112	0.6557
MSMEG_0113	0.5299
MSMEG_0114	0.5714
MSMEG_0115	1.2316
MSMEG_0116	0.3214
MSMEG_0117	0.5049
MSMEG_0118	1.0699
MSMEG_0119	49.3774
MSMEG_0120	1.381
MSMEG_0121	0.2423
MSMEG_0122	0.1885
MSMEG_0123	0.5158
MSMEG_0124	0.9592
MSMEG_0125	0.883
MSMEG_0126	0.2648
MSMEG_0127	5.0281
MSMEG_0128	0.739
MSMEG_0129	1.7528
MSMEG_0130	0.2061
MSMEG_0131	0.4143
MSMEG_0132	0.4893
MSMEG_0133	0.1247
MSMEG_0134	0.4596
MSMEG_0135	0.206
MSMEG_0136	0.1411
MSMEG_0137	0.3168
MSMEG_0138	0.2545
MSMEG_0139	0.4238
MSMEG_0140	0.1203
MSMEG_0141	0.0854
MSMEG_0142	0.2567
MSMEG_0143	0.2618
MSMEG_0144	0.2073
MSMEG_0145	0.2166
MSMEG_0146	1.2989
MSMEG_0147	0.3148
MSMEG_0148	1.104
MSMEG_0149	0.1608
MSMEG_0150	0.1225
MSMEG_0151	0.3647
MSMEG_0152	0.3091
MSMEG_0153	1.581
MSMEG_0154	0.3462
MSMEG_0155	0.3125
MSMEG_0156	0.2743
MSMEG_0157	0.8006
MSMEG_0158	1.1917
MSMEG_0159	0.3463
MSMEG_0160	0.7004
MSMEG_0161	0.5257
MSMEG_0162	0.6711
MSMEG_0163	0.5707
MSMEG_0164	0.6796
MSMEG_0165	1.575
MSMEG_0166	0.4192
MSMEG_0167	0.6743
MSMEG_0168	0.6232
MSMEG_0169	0.6587
MSMEG_0170	0.4567
MSMEG_0171	0.3587
MSMEG_0172	4.9681
MSMEG_0173	0.4521
MSMEG_0174	1.3802
MSMEG_0175	0.533
MSMEG_0176	0.6386
MSMEG_0177	0.2684
MSMEG_0178	0.2054
MSMEG_0179	0.1638
MSMEG_0180	3.3199
MSMEG_0181	2.9351
MSMEG_0182	0.3061
MSMEG_0183	0.6862
MSMEG_0184	0.2959
MSMEG_0185	0.4705
MSMEG_0186	0.489
MSMEG_0187	0.2738
MSMEG_0188	1.7792
MSMEG_0189	0.2008
MSMEG_0190	0.4164
MSMEG_0191	0.4809
MSMEG_0192	0.8214
MSMEG_0193	0.3689
MSMEG_0194	1.07
